"","geometry"
"4320",c(-18.53474, 43.87132)
"4321",c(-17.44068, 43.34297)
"4322",c(-12.33694, 46.46095)
"4323",c(-9.55165, -140.11203)
"4324",c(-9.48577, -141.52502)
"4325",c(-8.9578, -140.21692)
"4326",c(-18.27637, 42.51069)
"4327",c(-17.49119, 43.44376)
"4328",c(-17.47013, 43.34823)
"4329",c(-12.68629, 47.91245)
"4330",c(-12.33377, 46.45918)
"4331",c(-9.25683, -139.9933)
"4332",c(-8.97532, -140.23483)
"4333",c(-16.96579, 43.38933)
"4334",c(-22.66721, 40.60268)
"4335",c(-11.94193, 48.02935)
"4336",c(-12.46464, 46.23568)
"4337",c(-10.80506, -140.27759)
"4338",c(-8.99749, -140.2543)
"4339",c(-11.95612, 47.92469)
"4340",c(-12.79947, 45.32864)
"4341",c(-10.19413, -141.20366)
"4342",c(-9.04346, -140.40292)
"4343",c(-18.61684, 55.31565)
"4344",c(-17.79598, 43.53536)
"4345",c(-12.90086, 47.79271)
"4346",c(-12.33296, 46.45875)
"4347",c(-9.36996, -140.60445)
"4348",c(-8.99515, -140.3779)
"4349",c(-7.72559, -140.77364)
"4350",c(-22.28635, 53.53447)
"4351",c(-21.54021, 43.23425)
"4352",c(-22.05688, 40.96335)
"4353",c(-17.46099, 43.39272)
"4354",c(-11.21328, -141.13205)
"4355",c(-9.0479, -141.64622)
"4356",c(-10.55925, -137.9998)
"4357",c(-8.88918, -140.26996)
"4358",c(-7.82287, -140.01419)
"4359",c(-15.74112, -150.69487)
"4360",c(-7.6996, -138.23555)
"4361",c(-23.55563, -149.59123)
"4362",c(-17.63274, -149.95364)
"4363",c(5.31796, -52.43769)
"4364",c(5.87289, -51.88952)
"4365",c(6.19554, -52.85105)
"4366",c(6.40913, -52.81964)
"4367",c(-9.1676, -140.59363)
"4368",c(6.15319, -52.26879)
"4369",c(6.06465, -52.55193)
"4370",c(6.19767, -52.85077)
"4371",c(6.422, -52.81765)
"4372",c(-9.49261, -140.2249)
"4373",c(-23.27546, -149.78738)
"4374",c(6.50859, -52.63225)
"4375",c(6.09897, -52.54448)
"4376",c(6.19767, -52.85077)
"4377",c(6.44414, -52.89994)
"4378",c(-9.34423, -140.15773)
"4379",c(-22.46689, -133.48566)
"4380",c(-24.65104, -150.54042)
"4381",c(-16.6628, -151.59232)
"4382",c(6.61701, -52.60511)
"4383",c(6.13125, -52.53719)
"4384",c(6.19979, -52.85051)
"4385",c(6.46317, -52.88041)
"4386",c(6.16061, -52.28937)
"4387",c(-16.91407, -151.39584)
"4388",c(-16.74486, -151.50606)
"4389",c(6.68263, -52.58828)
"4390",c(6.00967, -52.82492)
"4391",c(6.21286, -52.51859)
"4392",c(6.20403, -52.84999)
"4393",c(6.47232, -52.80967)
"4394",c(6.17017, -52.33821)
"4395",c(-22.40271, -150.29869)
"4396",c(6.77124, -52.56571)
"4397",c(6.3996, -52.58271)
"4398",c(6.26198, -52.39573)
"4399",c(6.21249, -52.84883)
"4400",c(6.47663, -52.809)
"4401",c(-17.27035, -152.6158)
"4402",c(5.76231, -52.92426)
"4403",c(6.21354, -52.84869)
"4404",c(6.47771, -52.80883)
"4405",c(-11.32455, -140.60349)
"4406",c(-16.35978, -151.78926)
"4407",c(-19.06586, -140.67499)
"4408",c(-14.12215, -147.13704)
"4409",c(-17.68868, -149.87845)
"4410",c(-17.02874, -142.6396)
"4411",c(-16.60964, -153.4765)
"4412",c(-17.89031, -150.53737)
"4413",c(5.401, -52.49154)
"4414",c(5.85932, -53.25827)
"4415",c(6.26324, -52.39726)
"4416",c(5.79462, -52.9181)
"4417",c(6.48069, -52.86254)
"4418",c(-9.80846, -139.01985)
"4419",c(-15.46933, -143.58379)
"4420",c(-17.90253, -149.16109)
"4421",c(-21.44795, -149.65208)
"4422",c(-17.13733, -150.66261)
"4423",c(-16.36815, -152.24628)
"4424",c(5.6177, -52.22598)
"4425",c(6.6591, -52.97522)
"4426",c(6.2843, -52.502)
"4427",c(5.83949, -52.90968)
"4428",c(6.221, -52.84762)
"4429",c(6.48699, -52.8561)
"4430",c(-16.01453, -146.05618)
"4431",c(-17.61515, -149.85905)
"4432",c(-23.76245, -151.0015)
"4433",c(6.58526, -52.93699)
"4434",c(6.30901, -52.49566)
"4435",c(6.10351, -52.86476)
"4436",c(6.22314, -52.84732)
"4437",c(6.267418, -53.722885)
"4438",c(6.02129, -53.576255)
"4439",c(5.916687, -53.324993)
"4440",c(5.900843, -53.305492)
"4441",c(5.861192, -53.434308)
"4442",c(5.814872, -53.197557)
"4443",c(5.778842, -53.153173)
"4444",c(5.554912, -52.83929)
"4445",c(5.530212, -52.818245)
"4446",c(5.518258, -52.796995)
"4447",c(5.491142, -52.684367)
"4448",c(5.278937, -52.468372)
"4449",c(-22.032682, 165.975943)
"4450",c(-19.93686, 164.252658)
"4451",c(-19.97485, 165.626003)
"4452",c(6.024525, -53.735228)
"4453",c(5.980507, -53.636768)
"4454",c(5.925813, -53.336118)
"4455",c(5.909885, -53.316595)
"4456",c(5.869275, -53.266362)
"4457",c(5.822077, -53.206537)
"4458",c(5.79746, -53.176122)
"4459",c(5.5645, -52.865693)
"4460",c(5.531868, -52.815402)
"4461",c(5.52812, -52.822758)
"4462",c(5.297793, -52.537188)
"4463",c(5.167957, -52.308408)
"4464",c(-21.291082, 164.892877)
"4465",c(6.601407, -53.13332)
"4466",c(5.967112, -53.386245)
"4467",c(5.921602, -53.330887)
"4468",c(5.90795, -53.31414)
"4469",c(5.864902, -53.260803)
"4470",c(5.820427, -53.204475)
"4471",c(5.785115, -53.16095)
"4472",c(5.558713, -52.843652)
"4473",c(5.53166, -52.807637)
"4474",c(5.523943, -52.79876)
"4475",c(5.49148, -52.686938)
"4476",c(5.158292, -52.31385)
"4477",c(-19.064807, 164.491367)
"4478",c(6.082047, -53.507952)
"4479",c(6.019442, -53.738118)
"4480",c(5.94838, -53.624612)
"4481",c(5.853537, -53.352082)
"4482",c(5.81136, -53.212868)
"4483",c(5.659457, -52.967645)
"4484",c(5.543855, -52.821783)
"4485",c(5.506798, -52.779215)
"4486",c(5.483052, -52.751472)
"4487",c(5.201515, -52.371348)
"4488",c(5.102178, -52.208122)
"4489",c(-20.914727, 167.09246)
"4490",c(-21.426515, 166.016252)
"4491",c(6.083202, -53.506605)
"4492",c(6.020223, -53.73767)
"4493",c(5.951083, -53.052398)
"4494",c(5.894632, -53.297975)
"4495",c(5.857328, -53.349938)
"4496",c(5.814038, -53.209823)
"4497",c(5.73392, -53.097573)
"4498",c(5.549612, -52.833032)
"4499",c(5.529415, -52.8197)
"4500",c(5.510982, -52.784058)
"4501",c(5.489207, -52.758567)
"4502",c(5.274085, -52.469653)
"4503",c(5.108565, -52.20086)
"4504",c(-22.372957, 166.40336)
"4505",c(-22.750388, 166.68854)
"4506",c(7.088948, -52.842903)
"4507",c(6.023663, -53.573345)
"4508",c(5.97239, -53.392617)
"4509",c(5.923892, -53.333648)
"4510",c(5.90795, -53.31414)
"4511",c(5.867598, -53.264298)
"4512",c(5.792602, -53.170112)
"4513",c(5.560993, -52.869738)
"4514",c(5.531868, -52.815402)
"4515",c(5.527487, -52.802787)
"4516",c(5.492598, -52.696475)
"4517",c(5.296358, -52.176608)
"4518",c(5.16295, -52.311243)
"4519",c(6.2953, -52.935283)
"4520",c(6.022572, -53.736333)
"4521",c(5.961007, -53.378807)
"4522",c(5.919708, -53.088367)
"4523",c(5.905035, -53.310712)
"4524",c(5.861372, -53.256313)
"4525",c(5.819353, -53.203078)
"4526",c(5.554912, -52.83929)
"4527",c(5.531457, -52.816113)
"4528",c(5.522015, -52.79656)
"4529",c(5.491473, -52.761168)
"4530",c(5.282452, -52.51924)
"4531",c(5.137267, -52.259195)
"4532",c(-13.525418, -179.189982)
"4533",c(-18.532198, 164.220508)
"4534",c(6.17501, -53.71073)
"4535",c(6.020697, -53.576977)
"4536",c(5.952597, -53.626268)
"4537",c(5.916118, -53.32429)
"4538",c(5.896877, -53.300715)
"4539",c(5.860762, -53.15587)
"4540",c(5.814628, -53.209155)
"4541",c(5.748765, -53.115867)
"4542",c(5.529418, -52.805017)
"4543",c(5.518258, -52.796995)
"4544",c(5.490737, -52.681383)
"4545",c(5.278712, -52.467048)
"4546",c(5.110032, -52.199217)
"4547",c(-21.830597, 165.748115)
"4548",c(-19.887513, 163.970247)
"4549",c(6.082213, -52.974025)
"4550",c(6.019442, -53.738118)
"4551",c(5.949033, -53.364142)
"4552",c(5.892795, -53.119525)
"4553",c(5.854038, -53.163513)
"4554",c(5.811957, -53.212188)
"4555",c(5.663613, -52.965307)
"4556",c(5.5481, -52.831258)
"4557",c(5.508953, -52.786173)
"4558",c(5.488967, -52.667908)
"4559",c(5.205872, -52.36634)
"4560",c(5.104765, -52.205123)
"4561",c(-22.329693, 166.396183)
"4562",c(-20.05089, 163.700442)
"4563",c(15.16679, -62.287427)
"4564",c(6.030342, -53.731908)
"4565",c(5.985647, -53.409015)
"4566",c(5.925813, -53.336118)
"4567",c(5.912998, -53.320407)
"4568",c(5.822077, -53.206537)
"4569",c(5.799738, -53.178965)
"4570",c(5.570418, -52.85705)
"4571",c(5.531868, -52.815402)
"4572",c(5.52921, -52.809473)
"4573",c(5.492967, -52.699518)
"4574",c(5.317115, -52.560457)
"4575",c(5.171615, -52.242017)
"4576",c(4.91709, -51.955318)
"4577",c(-21.321808, 164.900742)
"4578",c(-19.822988, 162.501158)
"4579",c(-22.198605, 166.108548)
"4580",c(-22.61688, 167.371552)
"4581",c(-21.106152, 166.152113)
"4582",c(-20.797723, 164.402183)
"4583",c(-5.80584, 53.29253)
"4584",c(-5.40145, 57.8345)
"4585",c(-4.84944, 53.86351)
"4586",c(-5.67181, 54.84169)
"4587",c(-5.30854, 57.85707)
"4588",c(-5.81295, 53.2938)
"4589",c(-5.08284, 53.15509)
"4590",c(-3.72829, 55.10604)
"4591",c(-5.39619, 57.82964)
"4592",c(-5.21896, 55.39759)
"4593",c(-17.25635, 43.19403)
"4594",c(-8.92712, -141.12418)
"4595",c(-8.67696, -140.31622)
"4596",c(-17.95037, 43.07644)
"4597",c(-9.92544, -140.21317)
"4598",c(-8.98524, -140.36833)
"4599",c(-8.69209, -141.52226)
"4600",c(-18.73007, 42.70303)
"4601",c(-16.75121, 41.76484)
"4602",c(-14.50926, 47.43853)
"4603",c(-9.18301, -141.23961)
"4604",c(-10.97561, -140.63203)
"4605",c(-10.20264, -141.23352)
"4606",c(-9.07097, -139.68713)
"4607",c(-11.11298, -140.92314)
"4608",c(-11.81176, 43.75844)
"4609",c(-9.54435, -140.09515)
"4610",c(-8.74918, -140.38867)
"4611",c(-9.98363, -141.605)
"4612",c(-9.21829, -141.25645)
"4613",c(-8.21378, -141.13417)
"4614",c(-9.18893, -141.24321)
"4615",c(-22.49389, 43.18931)
"4616",c(-17.24537, 43.17889)
"4617",c(-13.00068, 44.89058)
"4618",c(-9.72253, -141.4864)
"4619",c(-10.15128, -140.944)
"4620",c(-8.96124, -139.57797)
"4621",c(-11.17338, -141.04736)
"4622",c(-16.94852, 41.98445)
"4623",c(-11.44025, 47.90958)
"4624",c(-12.93795, 48.34899)
"4625",c(-9.16372, -140.38287)
"4626",c(-9.96586, -140.3624)
"4627",c(-9.79556, -141.51906)
"4628",c(-8.93811, -140.32101)
"4629",c(-11.77955, -140.66519)
"4630",c(-9.55049, -140.10965)
"4631",c(-10.07675, -137.27582)
"4632",c(-10.52922, -138.02177)
"4633",c(-19.92361, 58.34838)
"4634",c(-18.14868, 43.21884)
"4635",c(-14.12806, 47.76028)
"4636",c(-12.16417, 45.39775)
"4637",c(-11.10291, -140.89984)
"4638",c(-9.49859, -141.62785)
"4639",c(-8.87029, -140.25208)
"4640",c(-7.4966, -140.4483)
"4641",c(-10.14554, -139.32411)
"4642",c(-9.49196, -139.3634)
"4643",c(-9.91738, -140.18121)
"4644",c(-16.83381, -151.62761)
"4645",c(-17.90074, -149.50407)
"4646",c(5.31387, -52.43844)
"4647",c(5.6115, -52.64256)
"4648",c(6.19342, -52.85135)
"4649",c(6.40806, -52.81981)
"4650",c(-9.81268, -139.00851)
"4651",c(-16.9731, -143.08667)
"4652",c(-18.25978, -151.80553)
"4653",c(6.66773, -52.93005)
"4654",c(5.07046, -52.09921)
"4655",c(6.36457, -52.29663)
"4656",c(5.6618, -53.64733)
"4657",c(6.13624, -52.85948)
"4658",c(6.23375, -52.84584)
"4659",c(6.50021, -52.84251)
"4660",c(5.23667, -52.38752)
"4661",c(-9.83526, -139.03839)
"4662",c(-10.3831, -140.20982)
"4663",c(-9.89604, -140.09889)
"4664",c(5.20271, -52.29365)
"4665",c(6.97293, -52.51657)
"4666",c(8.1145, -51.94857)
"4667",c(6.18068, -52.85304)
"4668",c(6.34237, -52.82983)
"4669",c(6.5381, -52.8012)
"4670",c(-9.61175, -139.00258)
"4671",c(-9.53123, -139.23752)
"4672",c(-23.83178, -149.73328)
"4673",c(5.45766, -51.99348)
"4674",c(5.57797, -52.64912)
"4675",c(6.18175, -52.85292)
"4676",c(6.38449, -52.82339)
"4677",c(6.54635, -52.80847)
"4678",c(-9.85611, -138.78169)
"4679",c(-7.40058, -140.48775)
"4680",c(-9.9234, -140.01816)
"4681",c(-10.12596, -139.00635)
"4682",c(-9.68355, -140.73564)
"4683",c(5.19117, -52.30785)
"4684",c(6.78461, -52.77423)
"4685",c(5.1869, -52.06695)
"4686",c(6.6366, -51.89908)
"4687",c(5.72878, -52.93056)
"4688",c(6.15107, -52.85726)
"4689",c(6.26776, -52.84087)
"4690",c(6.52653, -52.81497)
"4691",c(5.25924, -52.3832)
"4692",c(-7.92639, -140.05896)
"4693",c(-9.67453, -139.34438)
"4694",c(-10.11211, -140.90132)
"4695",c(5.1959, -52.30199)
"4696",c(6.81178, -52.73771)
"4697",c(5.55133, -52.65432)
"4698",c(6.96956, -52.15857)
"4699",c(6.17328, -52.85395)
"4700",c(6.28366, -52.83849)
"4701",c(6.53754, -52.80353)
"4702",c(5.29099, -52.37711)
"4703",c(-14.636, -144.13577)
"4704",c(-18.68499, -150.45445)
"4705",c(5.30569, -52.43984)
"4706",c(5.64656, -51.77958)
"4707",c(5.59967, -52.64485)
"4708",c(6.18705, -52.85221)
"4709",c(6.54944, -52.79162)
"4710",c(-9.8062, -138.8838)
"4711",c(-8.35865, -140.7923)
"4712",c(-13.92675, -144.56067)
"4713",c(-9.3688, -140.60208)
"4714",c(5.19117, -52.30785)
"4715",c(6.69721, -52.88996)
"4716",c(5.16758, -52.07243)
"4717",c(6.45252, -52.27603)
"4718",c(5.72035, -52.93222)
"4719",c(6.14788, -52.85775)
"4720",c(6.25711, -52.84239)
"4721",c(6.52311, -52.81863)
"4722",c(5.24486, -52.38593)
"4723",c(-9.81069, -139.0148)
"4724",c(-18.63722, -152.42076)
"4725",c(6.64377, -52.95403)
"4726",c(6.32169, -52.492)
"4727",c(6.1299, -52.86047)
"4728",c(6.22948, -52.84645)
"4729",c(6.49394, -52.84894)
"4730",c(-9.81244, -139.00941)
"4731",c(-10.00031, -140.05034)
"4732",c(-9.90429, -140.13376)
"4733",c(-9.19063, -139.32062)
"4734",c(-16.10444, -147.33556)
"4735",c(5.2945, -52.44184)
"4736",c(5.22052, -52.27209)
"4737",c(5.55727, -52.65317)
"4738",c(8.38119, -51.444)
"4739",c(6.34759, -52.82914)
"4740",c(6.54579, -52.795)
"4741",c(20.76118, -156.98735)
"4742",c(21.54448, -158.24804)
"4743",c(21.06117, -156.96234)
"4744",c(21.07093, -156.99884)
"4745",c(21.56445, -157.85407)
"4746",c(20.91068, -156.48052)
"4747",c(20.75993, -156.82668)
"4748",c(20.84058, -157.00602)
"4749",c(20.91541, -156.48473)
"4750",c(20.78891, -156.47404)
"4751",c(21.04486, -156.85933)
"4752",c(21.09173, -157.29666)
"4753",c(20.86071, -156.82948)
"4754",c(20.78993, -156.99589)
"4755",c(20.73861, -156.97505)
"4756",c(20.73022, -156.94102)
"4757",c(20.90648, -156.46647)
"4758",c(20.9166, -156.4852)
"4759",c(36.967288, -75.012034)
"4760",c(36.967437, -75.041283)
"4761",c(36.848591, -75.042866)
"4762",c(36.669186, -75.624734)
"4763",c(36.967274, -75.092092)
"4764",c(36.967344, -75.019182)
"4765",c(37.085599, -75.797172)
"4766",c(36.906487, -74.963074)
"4767",c(36.670917, -75.537484)
"4768",c(36.90635, -74.920658)
"4769",c(30.49702, -80.505549)
"4770",c(30.034219, -80.433746)
"4771",c(30.363555, -80.114882)
"4772",c(30.099056, -80.246893)
"4773",c(30.302377, -80.264126)
"4774",c(36.642393, -74.767181)
"4775",c(36.271654, -75.118863)
"4776",c(36.571876, -74.935398)
"4777",c(36.348606, -74.753543)
"4778",c(36.790728, -74.492728)
"4779",c(36.421998, -74.689106)
"4780",c(36.571663, -74.848616)
"4781",c(36.642857, -75.003044)
"4782",c(36.638887, -74.661431)
"4783",c(36.563441, -74.788214)
"4784",c(35.979867, -74.777095)
"4785",c(35.753241, -74.857289)
"4786",c(36.048465, -74.720854)
"4787",c(35.752472, -74.942894)
"4788",c(35.338814, -75.128588)
"4789",c(35.906769, -74.837829)
"4790",c(36.122209, -74.579464)
"4791",c(36.122162, -74.783066)
"4792",c(35.6964, -74.814982)
"4793",c(35.97323, -74.540942)
"4794",c(35.975032, -74.880622)
"4795",c(35.75337, -74.788411)
"4796",c(35.757519, -74.854612)
"4797",c(35.686946, -74.934173)
"4798",c(35.68696, -74.987428)
"4799",c(36.049083, -74.787462)
"4800",c(35.979848, -74.783235)
"4801",c(35.621818, -74.900298)
"4802",c(35.973469, -74.609538)
"4803",c(36.048577, -74.815578)
"4804",c(35.405888, -74.799956)
"4805",c(35.696432, -74.832808)
"4806",c(35.759416, -74.563465)
"4807",c(38.17783, -74.6581)
"4808",c(38.17899, -74.64941)
"4809",c(38.17906, -74.69239)
"4810",c(38.20805, -74.51784)
"4811",c(38.20787, -74.50623)
"4812",c(38.29575, -74.66084)
"4813",c(38.17863, -74.66339)
"4814",c(38.41121, -74.5612)
"4815",c(38.20936, -74.68342)
"4816",c(38.20936, -74.68222)
"4817",c(38.4409, -74.48331)
"4818",c(38.44091, -74.481)
"4819",c(38.38296, -74.48612)
"4820",c(38.44094, -74.57358)
"4821",c(38.41135, -74.93234)
"4822",c(38.41135, -74.93234)
"4823",c(38.20851, -74.59402)
"4824",c(38.20858, -74.5977)
"4825",c(38.20853, -74.6899)
"4826",c(38.23892, -74.39311)
"4827",c(38.23831, -74.38548)
"4828",c(38.50024, -74.66831)
"4829",c(38.20867, -74.68111)
"4830",c(38.35408, -74.73432)
"4831",c(38.20966, -74.61057)
"4832",c(38.35387, -74.9815)
"4833",c(30.100032, -80.315216)
"4834",c(30.500016, -80.328165)
"4835",c(30.099953, -80.416839)
"4836",c(29.965387, -80.304405)
"4837",c(30.56595, -80.099466)
"4838",c(30.166785, -80.477954)
"4839",c(30.498523, -80.439595)
"4840",c(30.098899, -80.702199)
"4841",c(30.433235, -80.160237)
"4842",c(35.756814, -74.834781)
"4843",c(35.619301, -74.839894)
"4844",c(35.678509, -74.786083)
"4845",c(35.617291, -74.787603)
"4846",c(35.691595, -74.894828)
"4847",c(35.827437, -74.864247)
"4848",c(35.906594, -74.821886)
"4849",c(36.123128, -74.963774)
"4850",c(36.122243, -74.56885)
"4851",c(35.689965, -74.981189)
"4852",c(36.049736, -75.05659)
"4853",c(35.763445, -75.092662)
"4854",c(35.834541, -74.64973)
"4855",c(35.152402, -75.022706)
"4856",c(35.480257, -74.837483)
"4857",c(34.567383, -75.421584)
"4858",c(35.341837, -74.999377)
"4859",c(35.408396, -74.840916)
"4860",c(35.833553, -74.892337)
"4861",c(35.906559, -74.822587)
"4862",c(35.827341, -74.885443)
"4863",c(35.760033, -74.853284)
"4864",c(36.12236, -74.716695)
"4865",c(35.90712, -75.114908)
"4866",c(35.907814, -74.868434)
"4867",c(36.047788, -75.141824)
"4868",c(35.480363, -74.831721)
"4869",c(35.410968, -74.869605)
"4870",c(36.842998, -74.97205)
"4871",c(36.906457, -75.023233)
"4872",c(36.906244, -74.967737)
"4873",c(36.849208, -74.960978)
"4874",c(36.906481, -74.993923)
"4875",c(36.842778, -74.920711)
"4876",c(36.884813, -74.869416)
"4877",c(36.788358, -74.950325)
"4878",c(36.69939, -75.8547)
"4879",c(37.10402, -75.76134)
"4880",c(38.38233, -74.93204)
"4881",c(37.16268, -75.61896)
"4882",c(37.16273, -75.59108)
"4883",c(36.69939, -75.8547)
"4884",c(37.07589, -75.69468)
"4885",c(36.7909, -75.77408)
"4886",c(38.38224, -74.93566)
"4887",c(36.850612, -75.220669)
"4888",c(21.876385, -159.490077)
"4889",c(35.692317, -74.802453)
"4890",c(35.620978, -74.558731)
"4891",c(35.145568, -75.140791)
"4892",c(35.231566, -74.816012)
"4893",c(35.618951, -74.771526)
"4894",c(36.049928, -74.776592)
"4895",c(35.980784, -74.910667)
"4896",c(35.551814, -74.763596)
"4897",c(36.049692, -74.652639)
"4898",c(35.904124, -74.45772)
"4899",c(35.554988, -74.846766)
"4900",c(35.764304, -74.713703)
"4901",c(35.832117, -74.750506)
"4902",c(35.832666, -75.041994)
"4903",c(35.833689, -74.612451)
"4904",c(36.126283, -74.761181)
"4905",c(36.042394, -74.452557)
"4906",c(36.120651, -74.464442)
"4907",c(34.786988, -75.849913)
"4908",c(36.119958, -74.743049)
"4909",c(35.555007, -74.842433)
"4910",c(35.9062, -74.84062)
"4911",c(34.76744, -75.559998)
"4912",c(35.762882, -74.875931)
"4913",c(35.763274, -74.833266)
"4914",c(35.762885, -74.59566)
"4915",c(34.823625, -75.490919)
"4916",c(34.792949, -75.452283)
"4917",c(36.123902, -74.735805)
"4918",c(36.122763, -74.772485)
"4919",c(35.616983, -74.976901)
"4920",c(35.691093, -74.788789)
"4921",c(35.687021, -74.867441)
"4922",c(35.760568, -74.773431)
"4923",c(35.83125, -75.026414)
"4924",c(35.33754, -74.864631)
"4925",c(36.042704, -74.883163)
"4926",c(35.832403, -74.688097)
"4927",c(36.123725, -74.622973)
"4928",c(35.620762, -74.802606)
"4929",c(36.049894, -74.932001)
"4930",c(35.147629, -75.143407)
"4931",c(35.688317, -74.661957)
"4932",c(30.567585, -80.120211)
"4933",c(29.965952, -80.654093)
"4934",c(29.965959, -80.499738)
"4935",c(30.032961, -80.508107)
"4936",c(30.098694, -80.666238)
"4937",c(30.366531, -80.512814)
"4938",c(30.229617, -80.656144)
"4939",c(30.22872, -80.583081)
"4940",c(29.964343, -80.522563)
"4941",c(30.433809, -80.524473)
"4942",c(30.568077, -80.108742)
"4943",c(29.96431, -80.537293)
"4944",c(30.030946, -80.547569)
"4945",c(29.966455, -79.818108)
"4946",c(29.966227, -80.625693)
"4947",c(-1.399679, -90.456947)
"4948",c(5.29743, -52.58959)
"4949",c(-2.335631, 130.626248)
"4950",c(-1.374601, -81.177366)
"4951",c(-1.291032, -81.165395)
"4952",c(-1.84439, -80.745389)
"4953",c(-0.397753, -90.577144)
"4954",c(20.190453, 37.46866)
"4955",c(-32.60638, 28.398618)
"4956",c(18.865306, -112.118425)
"4957",c(18.816444, -112.095408)
"4958",c(4.004453, -81.603356)
"4959",c(27.08, -82.22)
"4960",c(-8.79805, 115.527)
"4961",c(-26.908957, 32.986056)
"4962",c(-8.50894, 119.644)
"4963",c(-8.46021, 119.564)
"4964",c(-8.53464, 119.612)
"4965",c(-8.50309, 119.6)
"4966",c(-8.4397, 119.57)
"4967",c(-8.43925, 119.566)
"4968",c(-8.55888, 119.635)
"4969",c(-8.50309, 119.6)
"4970",c(-0.440214, 130.620703)
"4971",c(18.798194, -110.898573)
"4972",c(-22.932506, 113.681642)
"4973",c(8.781729, 97.662352)
"4974",c(27.643442, -81.505134)
"4975",c(-23.822264, 35.547316)
"4976",c(9.010595, 97.958621)
"4977",c(8.65837, 97.716256)
"4978",c(8.753022, 97.765615)
"4979",c(8.779605, 97.784631)
"4980",c(8.937633, 97.793037)
"4981",c(8.738789, 97.649604)
"4982",c(-23.936682, 35.521563)
"4983",c(18.996042, -111.193074)
"4984",c(21.563197, -86.773384)
"4985",c(27.985812, -93.965253)
"4986",c(21.318862, -86.771835)
"4987",c(21.721448, -86.952075)
"4988",c(8.718836, -83.968832)
"4989",c(8.671233, 123.836007)
"4990",c(18.938055, -112.791524)
"4991",c(24.208727, -110.103766)
"4992",c(24.262961, -110.162298)
"4993",c(24.273805, -110.08617)
"4994",c(36.95598, -75.994646)
"4995",c(24.358842, -110.11)
"4996",c(36.925621, -75.407094)
"4997",c(36.838817, -75.946058)
"4998",c(36.969676, -75.532981)
"4999",c(18.909203, -112.60019)
"5000",c(12.08632, -68.289389)
"5001",c(17.46215, -62.97945)
"5002",c(4.27991, 73.557)
"5003",c(19.088257, -111.867729)
"5004",c(-0.678825, -89.648131)
"5005",c(19.071083, -111.968317)
"5006",c(11.347006, 124.084998)
"5007",c(18.600072, -110.903378)
"5008",c(-0.383674, 73.424476)
"5009",c(-0.282271, 73.445749)
"5010",c(18.814799, -112.704742)
"5011",c(26.498567, -80.189001)
"5012",c(-1.034481, 130.462898)
"5013",c(-32.95, 27.5667)
"5014",c(-32.95, 27.5667)
"5015",c(-33, 27.95)
"5016",c(34.96667, -76.15)
"5017",c(-30.099, 153.596)
"5018",c(-21.965438, 113.964337)
"5019",c(-20.806721, 167.099736)
"5020",c(-20.989237, 167.142358)
"5021",c(-20.957605, 167.021003)
"5022",c(21.124816, -90.190099)
"5023",c(19.338541, -110.851115)
"5024",c(-0.570434, 130.620716)
"5025",c(19.3271, -110.812)
"5026",c(-3.846453, -32.594149)
"5027",c(-24.339893, -46.16094)
"5028",c(21.481348, -86.76725)
"5029",c(-3.986631, -32.516252)
"5030",c(18.433641, -84.4934)
"5031",c(-0.523163, 130.757894)
"5032",c(29.481111, -81.041143)
"5033",c(24.636193, -110.19423)
"5034",c(21.55451, -86.609221)
"5035",c(29.851318, -85.275388)
"5036",c(-2.369793, 130.713357)
"5037",c(19.299922, -110.921829)
"5038",c(18.850683, -112.072138)
"5039",c(19.2302, -110.914458)
"5040",c(19.267684, -110.888382)
"5041",c(19.259687, -110.948593)
"5042",c(19.352699, -110.96039)
"5043",c(19.356114, -110.993158)
"5044",c(19.263374, -110.932433)
"5045",c(19.797235, -156.029654)
"5046",c(28.060058, -96.626268)
"5047",c(21.626382, -86.487619)
"5048",c(21.622012, -86.698242)
"5049",c(21.750208, -86.683738)
"5050",c(21.456689, -86.689415)
"5051",c(-8.75885, -140.20678)
"5052",c(-8.75885, -140.20678)
"5053",c(-8.75885, -140.20678)
"5054",c(-14.90748, -147.66059)
"5055",c(-14.55873, -145.04224)
"5056",c(-20.03034, 164.2829)
"5057",c(24.68425, -83.07586)
"5058",c(24.6783, -83.06271)
"5059",c(24.68069, -83.07765)
"5060",c(24.68785, -82.99318)
"5061",c(24.6774, -82.99182)
"5062",c(24.71316, -82.99314)
"5063",c(24.5979, -83.03514)
"5064",c(24.62245, -83.06002)
"5065",c(24.64929, -83.02863)
"5066",c(24.64557, -83.07486)
"5067",c(24.62491, -83.10263)
"5068",c(24.68389, -82.90627)
"5069",c(24.61088, -82.93816)
"5070",c(24.71559, -82.86214)
"5071",c(24.63895, -82.93212)
"5072",c(24.64292, -82.93093)
"5073",c(24.69703, -82.8712)
"5074",c(24.65953, -82.93609)
"5075",c(24.60942, -82.94297)
"5076",c(24.67931, -82.89919)
"5077",c(24.66551, -82.92744)
"5078",c(24.64361, -82.96174)
"5079",c(24.67188, -82.82294)
"5080",c(24.58485, -82.97081)
"5081",c(24.56586, -82.93059)
"5082",c(24.57109, -82.9246)
"5083",c(24.62984, -82.83579)
"5084",c(24.64157, -82.84451)
"5085",c(24.58754, -82.90735)
