"","geometry"
"187",c(-3.5313, -80.9333)
"188",c(-3.747, -80.958)
"189",c(-3.7036, -80.9246)
"190",c(-0.4494, -80.6586)
"191",c(-2.0411, -81.0175)
"192",c(-2.5034, -81.2959)
"193",c(-2.0391, -81.0731)
"194",c(-2.03, -81.0194)
"195",c(-2.192, -81.1309)
"196",c(-2.17, -81.1186)
"197",c(-1.2635, -81.0899)
"198",c(-1.1252, -81.6672)
"199",c(-3.344, -80.8921)
"200",c(-3.2502, -81.0167)
"201",c(-1.259, -81.0804)
"202",c(-3.2976, -81.0599)
"203",c(-1.4958, -81.2612)
"204",c(-3.5483, -80.6783)
"205",c(-3.1006, -80.9894)
"206",c(-1.1298, -81.6768)
"207",c(-0.7945, -80.8091)
"208",c(-1.339, -80.983)
"209",c(-1.6489, -81.2712)
"210",c(-1.2672, -81.061)
"211",c(-0.5787, -80.729)
"212",c(-1.2507, -81.06)
"213",c(-0.8272, -80.8124)
"214",c(-2.5729, -81.2224)
"215",c(-2.7394, -81.1912)
"216",c(-1.2933, -81.055)
"217",c(-2.7288, -81.1929)
"218",c(-1.2892, -81.0756)
"219",c(-2.823, -81.2138)
"220",c(-1.2876, -81.0819)
"221",c(-2.7893, -81.2297)
"222",c(-3.2812, -80.8662)
"223",c(-1.3508, -80.9919)
"224",c(-3.4206, -80.7106)
"225",c(-3.3336, -80.8522)
"226",c(-1.8015, -81.1033)
"227",c(-1.7858, -81.0991)
"228",c(-3.1645, -80.7966)
"229",c(-3.3396, -80.9703)
"230",c(-3.0043, -81.1644)
"231",c(-2.8254, -81.1595)
"232",c(-2.6316, -81.2634)
"233",c(-2.9759, -81.0114)
"234",c(-3.1579, -80.7912)
"235",c(-2.9864, -80.9888)
"236",c(-3.155, -80.7839)
"237",c(-3.5305, -80.6676)
"238",c(-3.305, -81.0611)
"239",c(-3.092, -81.0219)
"240",c(-1.2617, -81.0897)
"241",c(-3.3488, -80.9216)
"242",c(-1.3327, -81.0988)
"243",c(-3.3598, -80.9273)
"244",c(-3.2458, -81.0063)
"245",c(-1.2542, -81.0735)
"246",c(-1.2785, -81.0914)
"247",c(-3.2344, -81.012)
"248",c(-1.2639, -81.0841)
"249",c(-3.1645, -81.1833)
"250",c(-3.1577, -81.1566)
"251",c(-1.7781, -81.1996)
"252",c(-3.1671, -80.6785)
"253",c(-3.3075, -81.0842)
"254",c(-1.2655, -81.0892)
"255",c(-2.9848, -81.0044)
"256",c(-3.2464, -81.0086)
"257",c(-1.2684, -81.1009)
"258",c(-3.5487, -81.1259)
"259",c(-3.3333, -80.9075)
"260",c(-3.2365, -80.9631)
"261",c(-3.3856, -81.0122)
"262",c(-3.3879, -81.0182)
"263",c(-3.3507, -80.9258)
"264",c(-3.2257, -80.9989)
"265",c(-1.925, -81.2563)
"266",c(-3.451, -80.9267)
"267",c(-3.3643, -80.9571)
"268",c(-3.2077, -80.8277)
"269",c(-0.1747, -81.9196)
"270",c(-0.2476, -82.0885)
"271",c(-0.5919, -81.5424)
"272",c(-0.3448, -81.3908)
"273",c(-2.5333, -81.2704)
"274",c(-1.5504, -81.6385)
"275",c(-2.0456, -81.0699)
"276",c(-2.5168, -81.2762)
"277",c(-3.3011, -80.1123)
"278",c(-2.8943, -81.3537)
"279",c(-3.3094, -80.2002)
"280",c(-3.308, -80.2092)
"281",c(-3.3021, -80.1138)
"282",c(-1.2847, -81.0928)
"283",c(-1.2647, -81.0622)
"284",c(-1.2339, -81.0964)
"285",c(-1.2671, -81.0314)
"286",c(-3.3162, -80.3356)
"287",c(-1.752, -81.0816)
"288",c(-3.3052, -80.2418)
"289",c(-2.8677, -81.3662)
"290",c(-3.2879, -80.1984)
"291",c(-1.7852, -81.099)
"292",c(-0.3428, -81.9831)
"293",c(-1.1348, -81.6294)
"294",c(-0.2482, -82.1056)
"295",c(-1.2731, -81.0822)
"296",c(-1.8007, -81.1603)
"297",c(-2.2166, -81.1502)
"298",c(-1.2464, -81.0747)
"299",c(-1.5516, -81.1511)
"300",c(-1.2609, -81.088)
"301",c(-1.2647, -81.0855)
"302",c(-1.3286, -81.1084)
"303",c(-1.2554, -81.109)
"304",c(-3.2456, -80.9659)
"305",c(-3.235, -80.8303)
"306",c(-3.2871, -80.2081)
"307",c(-2.1512, -81.0962)
"308",c(-3.2834, -80.1106)
"309",c(-1.8388, -81.0412)
"310",c(-2.9078, -81.3511)
"311",c(-1.3813, -81.0894)
"312",c(-1.8261, -81.0523)
"313",c(-3.0073, -80.9365)
"314",c(-3.0829, -80.6086)
"315",c(-3.2349, -81.0093)
"316",c(-3.0666, -80.9365)
"317",c(-3.0747, -80.9519)
"318",c(-2.1862, -81.1294)
"319",c(-2.1895, -81.1379)
"320",c(-3.7563, -81.2674)
"321",c(-4.0345, -81.4242)
"322",c(-3.7822, -81.0973)
"323",c(-3.9656, -81.3158)
"324",c(-3.0651, -81.2343)
"325",c(-3.0584, -81.2162)
"326",c(-3.3028, -81.0912)
"327",c(-3.7275, -80.977)
"328",c(-3.4482, -81.1742)
"329",c(-1.3839, -81.0816)
"330",c(-1.2637, -81.082)
"331",c(-1.3053, -81.0487)
"332",c(-1.2907, -81.086)
"333",c(-1.2622, -81.0894)
"334",c(-1.8316, -81.0421)
"335",c(-3.4215, -80.7102)
"336",c(-3.5311, -80.9266)
"337",c(-3.3353, -80.91)
"338",c(-1.3838, -81.0794)
"339",c(-1.2646, -81.0876)
"340",c(-1.2589, -81.0804)
"341",c(-3.3515, -81.0064)
"342",c(-3.0656, -80.8494)
"343",c(-1.2622, -81.0808)
"344",c(-3.4058, -81.0289)
"345",c(-3.1498, -81.3162)
"346",c(-3.0937, -81.1374)
"347",c(-3.0482, -81.0677)
"348",c(-3.4244, -81.1045)
"349",c(-3.4158, -81.0033)
"350",c(-3.5366, -81.0222)
"351",c(-1.7778, -81.5216)
"352",c(-1.7945, -81.5226)
"353",c(-1.0942, -81.5358)
"354",c(-1.5331, -81.2088)
"355",c(-1.1687, -81.7146)
"356",c(-1.1503, -81.6845)
"357",c(-1.4719, -82.0786)
"358",c(-1.2674, -81.0646)
"359",c(-1.2595, -81.0801)
"360",c(-1.2673, -81.0813)
"361",c(-2.7716, -81.1805)
"362",c(-2.1912, -82.1066)
"363",c(-2.8103, -81.3282)
"364",c(-3.0692, -80.928)
"365",c(-2.7307, -81.1289)
"366",c(-3.1294, -80.8939)
"367",c(-3.4104, -81.2075)
"368",c(-3.1477, -80.775)
"369",c(-3.1492, -80.7842)
"370",c(-3.2668, -80.8491)
"371",c(-3.2497, -80.8386)
"372",c(-3.338, -80.9954)
"373",c(-3.2926, -81.0205)
"374",c(-3.214, -80.9898)
"375",c(-3.3216, -81.0038)
"376",c(-3.0963, -80.9984)
"377",c(-3.6946, -80.907)
"378",c(-3.629, -80.8699)
"379",c(-1.9016, -80.9418)
"380",c(-2.9898, -80.9988)
"381",c(-1.9965, -81.3632)
"382",c(-2.8992, -81.3516)
"383",c(-1.57, -83.7812)
"384",c(-2.7377, -81.196)
"385",c(-3.336, -80.9058)
"386",c(-1.7376, -83.5576)
"387",c(-2.8225, -81.2093)
"388",c(-3.4242, -80.7116)
"389",c(-1.7759, -81.1389)
"390",c(-1.8872, -83.4036)
"391",c(-3.4972, -80.9441)
"392",c(-1.7565, -81.0803)
"393",c(-1.9255, -83.9992)
"394",c(-0.822, -80.8402)
"395",c(-0.3862, -80.6577)
"396",c(-1.9166, -84.115)
"397",c(-1.9127, -84.1117)
"398",c(-3.0719, -80.984)
"399",c(-2.655, -81.2459)
"400",c(-1.7298, -83.9992)
"401",c(-0.4571, -80.4894)
"402",c(-2.0065, -83.4756)
"403",c(-2.0067, -83.5018)
"404",c(-1.184, -81.23)
"405",c(-1.8596, -83.8033)
"406",c(-1.6521, -80.8852)
"407",c(-3.1718, -81.1209)
"408",c(-1.5196, -81.4786)
"409",c(-3.1625, -81.1712)
"410",c(-3.3883, -81.0121)
"411",c(-2.1022, -83.0993)
"412",c(-1.7665, -81.1492)
"413",c(-2.6705, -81.1124)
"414",c(-2.0962, -83.1144)
"415",c(-2.0644, -81.0757)
"416",c(-3.4016, -81.2043)
"417",c(-2.0613, -83.2247)
"418",c(-2.9859, -81.0826)
"419",c(-2.5287, -81.1386)
"420",c(-3.0312, -81.0924)
"421",c(-0.0493, -82.2397)
"422",c(-2.06, -83.2362)
"423",c(-2.1594, -81.2483)
"424",c(-1.7874, -81.5558)
"425",c(-1.3418, -81.1514)
"426",c(-0.8837, -81.25)
"427",c(-1.0236, -81.1431)
"428",c(-1.258, -81.0836)
"429",c(-1.2505, -80.9413)
"430",c(-1.2515, -81.0692)
"431",c(-2.2287, -82.9911)
"432",c(-3.9607, -81.3956)
"433",c(-2.9831, -80.9962)
"434",c(-2.2814, -81.3146)
"435",c(-3.6936, -80.9172)
"436",c(-3.6096, -80.8639)
"437",c(-1.4745, -81.5776)
"438",c(-3.4931, -80.8058)
"439",c(-3.4806, -80.8847)
"440",c(-3.5397, -80.9304)
"441",c(-3.7498, -80.9605)
"442",c(-2.7325, -81.1983)
"443",c(-2.0352, -83.2181)
"444",c(-2.4883, -82.257)
"445",c(-2.8293, -81.2312)
"446",c(-3.7484, -81.3757)
"447",c(-2.817, -81.2046)
"448",c(-3.4202, -80.7101)
"449",c(-1.885, -81.6575)
"450",c(-2.203, -82.9461)
"451",c(-1.8842, -83.973)
"452",c(-1.5925, -83.687)
"453",c(-1.6598, -83.671)
"454",c(-2.3417, -81.26)
"455",c(-3.3547, -80.9717)
"456",c(-2.568, -81.3287)
"457",c(-1.4989, -80.8231)
"458",c(-2.9836, -80.985)
"459",c(-3.1759, -81.1062)
"460",c(-0.5721, -81.3935)
"461",c(-1.6505, -81.2884)
"462",c(-0.8822, -81.2537)
"463",c(-1.7011, -81.8188)
"464",c(-1.5006, -81.5421)
