"mean_temp","mean_MixedLayerDepth","mean_salinity","mean_total_phytoplankton","mean_ph","mean_chlorophyll","occurrences","longitude","latitude"
1.8928731242294,16.8688046098145,34.7787830466891,0.0125137502327561,7.78707671732833,0.00273027294315398,"ABSENT",91.4250003389187,15.3249991069008
0.997867209841192,39.4336346452262,34.6963849098639,0.0125137502327561,7.71949790464257,0.0027302729261508,"ABSENT",-140.425005164904,22.7249990441528
1.96583553842625,48.5862456351746,34.8887776852312,0.0125137502327561,7.85640320743311,0.00273027294315398,"ABSENT",-5.12500195305475,-23.225000566216
1.04300645063833,39.4070521986866,34.7227046574696,0.012513751129238,7.79460177053455,0.00273027348984939,"ABSENT",62.274999646935,-23.4250005645201
1.70583227879864,15.5848891831708,34.6019174110407,0.0125137502327561,7.75655018406361,0.00273027294315398,"ABSENT",119.325001001229,-7.57500069891953
2.02719792251259,27.6032786614346,34.7295317909196,0.0125137502327561,7.80024074439222,0.00273027293214441,"ABSENT",121.325001048706,-13.975000644651
5.22898357074376,15.343690755723,34.6054904946164,0.0125138871555565,7.7510959697454,0.00273092892270731,"ABSENT",121.175001045146,-4.32500072647778
0.798264364779734,43.8896050766823,34.7085245620836,0.0125137502327561,7.74481952512307,0.00273027294315398,"ABSENT",-141.075005180334,-40.2750004216412
1.60729447443112,63.4900657362962,34.672099284193,0.0125137510841764,7.79057312691069,0.00273027336602293,"ABSENT",-108.575004408825,-26.4250005390817
1.83597886419065,62.5459613427518,34.8989045895654,0.0125137930044909,7.88226724872908,0.00273041609352067,"ABSENT",-63.3750033358352,37.1249989220486
2.34420638225199,28.3863614107149,34.6271346346433,0.0125137502327561,7.81546790054296,0.00273027294315398,"ABSENT",176.725002363832,-16.9750006192126
1.35132814416175,24.2144707677986,34.6803572315937,0.0125137502327561,7.76400695827557,0.00273027288695074,"ABSENT",-104.57500431387,3.02499921119819
1.51260040214988,61.1891837019518,34.6828497329683,0.0125137502327561,7.7679797912958,0.00273027294315398,"ABSENT",-99.7250041987377,-23.7250005619762
2.17319182623608,51.5240656755934,34.822788223575,0.0125554069177831,7.88745177886644,0.00276287415655992,"ABSENT",-6.07500197560654,-39.8250004254569
2.31395962014299,44.6545266005012,34.6523751117448,0.0125137502327561,7.81396410375832,0.00273027294315398,"ABSENT",160.42500197689,-28.0250005255146
0.688991120002885,34.4247939921583,34.7131890801137,0.0125137937092645,7.7406189738666,0.00273031047824651,"ABSENT",96.8750004682947,-19.4250005984379
1.09787269109858,36.7148626130985,34.6848601711032,0.0125137502327561,7.71941299637345,0.00273027294315398,"ABSENT",-132.97500498805,32.4749989614781
1.26544895981992,45.4252506008757,34.8003071025603,0.0125169070007319,7.8471259715891,0.00273364603028691,"ABSENT",-35.5750026758988,-23.8250005611283
1.28484684068912,18.5129649819873,34.6751744644473,0.0125137502327561,7.77544399238881,0.00273027294315398,"ABSENT",142.97500156265,1.57499922349341
3.34147425903351,42.1164909267166,34.9887958930422,0.0127993690290289,7.94267407899304,0.00306518777639293,"ABSENT",-34.8750026592817,36.1749989301041
1.48457917153986,42.8436338493816,34.6812990735036,0.0125137502327561,7.75835014385477,0.00273027294315398,"ABSENT",-96.2250041156522,-14.6250006391393
1.66957868807084,31.6286080645236,34.6821423462966,0.0125137502327561,7.77708828079072,0.00273027294315398,"ABSENT",159.875001963834,-18.7750006039496
0.863002169311734,46.8060576445293,34.7044962977004,0.0125137502327561,7.75002695433774,0.00273027294315398,"ABSENT",-142.675005218316,-30.8250005017721
1.42112865038366,55.9334710475142,34.6883658803125,0.0125137502327561,7.7481476994682,0.00273027294315398,"ABSENT",-87.8250039162469,-22.4750005725756
0.828184639061119,34.2886063776188,34.7084643124445,0.0125138196035853,7.76209615454292,0.00273033828784638,"ABSENT",-157.725005575583,-22.3250005738475
13.7989773968485,27.4570267627186,38.7047017774494,0.0126180702042645,8.05371881985845,0.00317314836709596,"ABSENT",13.4249984872985,38.2249989127212
1.02210123476727,38.046064185576,34.6906651493883,0.0125137502327561,7.70226007629267,0.00273027294053028,"ABSENT",-162.425005687155,30.8249989754692
1.21608015944264,20.4904735440573,34.6868688291822,0.0125137502327561,7.7385519557035,0.00273027294315398,"ABSENT",-110.525004455116,7.27499917516048
1.05809130759811,32.6908265875306,34.689449818478,0.0125137922159998,7.75602712258518,0.00273032443627324,"ABSENT",163.625002052854,10.5249991476022
1.92539065785226,46.6905469058506,34.8887450542189,0.0125137502327561,7.86626751268769,0.00273027294315398,"ABSENT",1.02499819293837,-22.7750005700317
0.888983753058499,38.297120708953,34.7007039879362,0.0125137697926287,7.71708774578417,0.00273029778651799,"ABSENT",-170.475005878252,15.2249991077488
0.609097208341205,43.9981740627499,34.712659726077,0.0131619021300718,7.719313847877,0.00316791646960841,"ABSENT",-177.52500604561,-35.4750004623426
1.73822852827425,59.4336477892676,34.6597622485642,0.0125137502327561,7.81082082605815,0.00273027295502219,"ABSENT",-104.42500431031,-27.6750005284824
1.04167215640155,39.4716646775021,34.6877381815388,0.0125137502327561,7.71833057316755,0.00273027294315398,"ABSENT",-163.025005701399,29.1749989894603
1.1960993340483,29.1849774797421,34.6776581987988,0.0125137502327561,7.7665282619349,0.00273027294315398,"ABSENT",147.575001671848,9.17499915904951
1.67357893111721,38.8636471659744,34.8817371130729,0.0125137502327561,7.84871847341689,0.00273027294315398,"ABSENT",-53.6750031055696,30.7249989763171
1.95293529544881,60.171753906309,34.9093756525041,0.0125149080438597,7.88806544255776,0.00273352294591744,"ABSENT",-37.4750027210023,40.6249988923705
