"","latitude","longitde","value_per_area","units_1"
"125",-40.133,100.8,"       2400.000","mg/m2"
"126",-40.167,105.767,"       6400.000","mg/m2"
"127",-40.167,105.767,"       3600.000","mg/m2"
"128",-40.167,111.483,"       1600.000","mg/m2"
"129",-40.167,111.483,"       3000.000","mg/m2"
"130",-37.05,116.25,"       3200.000","mg/m2"
"131",-37.05,116.25,"       1800.000","mg/m2"
"132",-40.017,118.067,"       2400.000","mg/m2"
"133",-40.017,118.067,"       2200.000","mg/m2"
"134",-40.15,121.967,"       3000.000","mg/m2"
"135",-40.15,121.967,"       2800.000","mg/m2"
"136",-40.05,127.683,"       2400.000","mg/m2"
"137",-40.05,127.683,"       2800.000","mg/m2"
"138",-40.083,131.983,"       3400.000","mg/m2"
"139",-40.083,131.983,"       3000.000","mg/m2"
"140",-40.05,136,"       4400.000","mg/m2"
"141",-40.05,135.983,"       4000.000","mg/m2"
"142",-38.567,136,"       2400.000","mg/m2"
"143",-38.567,136,"       2000.000","mg/m2"
"144",-36.517,133.533,"       1200.000","mg/m2"
"145",-36.517,133.533,"       1400.000","mg/m2"
"146",-36.983,129.467,"       4400.000","mg/m2"
"147",-36.983,129.467,"       2400.000","mg/m2"
"148",-36.983,124.85,"        183200.","mg/m2"
"149",-36.983,124.85,"       2400.000","mg/m2"
"150",-36.833,120.367,"       1400.000","mg/m2"
"151",-36.833,120.367,"       1400.000","mg/m2"
"152",-32,111.833,"       800.0000","mg/m2"
"153",-32,111.833,"       1400.000","mg/m2"
"154",-31.983,111.9,"       6400.000","mg/m2"
"155",-31.983,111.9,"       3400.000","mg/m2"
"156",-32,107.567,"          null ","-----"
"157",-32,107.567,"          null ","-----"
"158",-31.983,103.483,"       3600.000","mg/m2"
"159",-31.983,103.483,"       1400.000","mg/m2"
"160",-30.683,97.5,"          null ","-----"
"161",-30.683,97.5,"          null ","-----"
"162",-29.667,94.783,"          null ","-----"
"163",-29.667,94.783,"       1400.000","mg/m2"
"164",-29.667,94.783,"          null ","-----"
"165",-29.667,94.783,"          null ","-----"
"166",-27.383,95.017,"       1200.000","mg/m2"
"167",-27.383,95.017,"       600.0000","mg/m2"
"168",-19.783,94.933,"          null ","-----"
"169",-19.783,94.933,"          null ","-----"
"170",-19.417,94.467,"          null ","-----"
"171",-19.417,94.467,"          null ","-----"
"172",-19.417,94.467,"          null ","-----"
"173",-19.417,94.467,"          null ","-----"
"174",-12.683,95.067,"          null ","-----"
"175",-11.25,95.033,"       2400.000","mg/m2"
"176",-11.25,95.033,"       3400.000","mg/m2"
"177",-2,94.2,"       3000.000","mg/m2"
"178",-2,94.2,"       3000.000","mg/m2"
"179",-2,94.2,"       2200.000","mg/m2"
"180",-0.067,95.117,"       3000.000","mg/m2"
"181",-0.067,95.117,"       3600.000","mg/m2"
"182",-2.5,95,"       1800.000","mg/m2"
"183",-2.5,95,"       2600.000","mg/m2"
"184",-5,94.667,"       2400.000","mg/m2"
"185",-5,94.667,"       2400.000","mg/m2"
"186",-5,94.667,"       1600.000","mg/m2"
"187",-5,94.667,"       1400.000","mg/m2"
"188",-5,94.667,"          null ","-----"
"189",-5,94.667,"          null ","-----"
"190",-5,94.667,"          null ","-----"
"191",-5,94.667,"          null ","-----"
"192",-7.583,105.65,"          null ","-----"
"193",-7.583,105.65,"          null ","-----"
"194",-9.6,113.15,"         13600.","mg/m2"
"195",-9.6,113.15,"       2600.000","mg/m2"
"196",-8.017,116,"       6800.000","mg/m2"
"197",-8.017,116,"       3400.000","mg/m2"
"198",-8,119.633,"          null ","-----"
"199",-8,119.633,"          null ","-----"
"200",-9.25,122.417,"         11200.","mg/m2"
"201",-9.25,122.417,"       9400.000","mg/m2"
"202",-7.767,128.75,"          null ","-----"
"203",-7.767,128.75,"          null ","-----"
"204",-10.067,131.95,"          null ","-----"
"205",-8,134,"          null ","-----"
"206",-8.85,129.867,"       8800.000","mg/m2"
"207",-8.85,129.867,"       4200.000","mg/m2"
"208",-9.6,128.117,"          null ","-----"
"209",-9.6,128.117,"          null ","-----"
